lncRNA名称 adipose adrenal brain brain_R breast colon foreskin_R heart hela_R HLF_1_R HLF_2_R kidney liver liver_R lung lymphNode ovary placenta_R prostate skeltalMuscle testis testis_R thyroid leukocyte
NONHSAT000173.2 0.0 0.0801747 0.0 0.194604 0.0 0.0 0.0 0.0 0.363176 0.735403 1.01965 0.0 0.0 0.0 1.0528 0.11922 0.136801 0.0 0.0013825 0.0 0.0 0.284262 0.120343 0.0733788
NONHSAT000201.2 0.00640138 0.0241391 0.00425275 0.157936 0.0181586 0.00299555 0.0079035 0.0 0.265182 0.0 0.0244743 0.0116808 0.0 0.0 0.0 0.0566965 0.0363771 0.762758 0.0278519 0.0 0.0226497 0.0674756 0.0 0.0
NONHSAT001116.2 0.0287626 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0428606 0.0 0.236437 0.0 0.0 0.0 0.0 0.00576946 0.0 0.0 0.0
NONHSAT001136.2 0.0 0.0 0.078504 0.0533411 0.0173483 0.0801804 0.370104 0.0 0.0 0.0 0.0245387 0.0 0.0 0.000656792 0.0624293 0.0 0.292972 0.0 0.125302 0.0 0.910581 1.57854 0.0189178 0.0
NONHSAT001209.2 0.0 0.194827 0.232293 0.114233 0.0280792 0.168726 0.0 0.0347713 0.0274536 0.0 0.0 0.10901 0.0461256 0.062662 0.0582539 0.0 1.16917 0.0617614 0.224124 0.0 0.420865 0.436781 0.0144367 0.0
NONHSAT001464.2 0.622967 0.0 0.0 0.0571153 0.000176964 0.0 0.0 0.0 0.00484874 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.276966 0.0 0.0 0.0 0.0186052 0.0
NONHSAT001498.2 0.0 0.0927283 0.0 0.0984736 0.301364 0.0 0.373959 0.0 0.266148 0.260315 0.0 0.0 0.0 0.241625 0.0 0.0 0.157528 0.0 0.0 0.0 0.0 0.838936 0.0 0.0
NONHSAT001955.2 0.462798 3.89188 0.477698 1.61518 0.768305 0.535746 10.4995 0.324819 25.6081 17.1107 18.193 1.215 1.3857 0.809408 2.92857 1.35114 3.30732 7.76 1.91273 0.124527 0.334975 1.93858 3.31732 0.0865211
NONHSAT001969.2 0.0 1.24916 0.323127 0.122445 0.921102 0.0 0.690695 0.298177 1.9037 1.85511 0.652664 1.80412 0.427859 0.0193928 2.7869 4.97983 1.67499 0.348329 0.884413 0.0 0.333227 0.541511 0.180717 0.897749
NONHSAT001972.2 0.19405 2.20194 0.260788 0.609588 0.497053 0.181502 1.04941 0.222774 3.61735 0.316077 0.344626 0.693066 0.0 0.195572 0.00379115 1.56688 0.902258 1.35048 0.423632 0.0 0.218076 0.00107288 0.786601 0.0485474
NONHSAT001975.2 0.140251 0.253288 0.102845 0.0960239 0.0255477 0.0250632 0.0 0.0190222 0.118222 0.0565542 0.0824302 0.185451 0.0 0.0 0.12798 0.324516 0.046701 0.0 0.0552042 0.0 0.188596 0.327928 0.00868228 0.0347988
NONHSAT001976.2 0.223064 0.968085 0.13339 0.0 0.176279 0.0 0.0 0.0966005 0.0 0.0 0.409478 0.0524785 0.0981312 0.0 0.0 0.0 0.776275 0.432288 1.49908 0.814876 0.112768 0.0 1.36935 0.0
NONHSAT001981.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06731 0.0 0.0 1.25911 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.319969 0.0
NONHSAT002058.2 0.0 0.0971375 0.320089 0.0969621 0.0 0.0 0.195041 0.0 0.0 0.0 0.0 0.0 0.191275 0.132059 0.0 0.0 0.0549569 0.213891 0.537084 0.0 0.0893285 0.0 0.19048 0.0
NONHSAT002162.2 8.08345 5.90061 6.46851 14.8975 6.7965 4.68733 5.31196 13.5088 8.76081 9.44361 9.47464 6.90843 6.80063 2.88716 5.27277 6.27722 6.48128 11.1562 6.95484 19.0547 16.3169 23.3264 9.84103 10.3685
NONHSAT002268.2 0.0828064 0.317332 0.0709453 0.317295 0.574664 0.0 0.0 0.178195 0.0 0.0 0.0 0.619861 0.0 0.0 0.0 0.216335 0.0708353 0.918659 0.0 0.0 0.0 0.790938 0.138002 0.0
NONHSAT002394.2 2.2897 0.0 0.109891 0.228885 0.270314 0.0 0.0 0.0 0.788208 0.0 0.0 0.407263 0.0 0.465146 0.0 0.0 0.580357 0.0 0.0 0.0 0.0 0.180506 0.45474 0.0
