lncRNA名称 adipose adrenal brain brain_R breast colon foreskin_R heart hela_R HLF_1_R HLF_2_R kidney liver liver_R lung lymphNode ovary placenta_R prostate skeltalMuscle testis testis_R thyroid leukocyte
NONHSAT000173.2 0.0 0.0801747 0.0 0.194604 0.0 0.0 0.0 0.0 0.363176 0.735403 1.01965 0.0 0.0 0.0 1.0528 0.11922 0.136801 0.0 0.0013825 0.0 0.0 0.284262 0.120343 0.0733788
NONHSAT000201.2 0.00640138 0.0241391 0.00425275 0.157936 0.0181586 0.00299555 0.0079035 0.0 0.265182 0.0 0.0244743 0.0116808 0.0 0.0 0.0 0.0566965 0.0363771 0.762758 0.0278519 0.0 0.0226497 0.0674756 0.0 0.0
NONHSAT000202.2 0.0 0.0 0.0688654 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.417175 0.0250377 0.0
NONHSAT000203.2 0.0233334 0.0 0.0 0.150249 0.0 0.0 0.0 0.0 0.0 0.0 0.0201449 0.0 0.0 0.0 0.0365793 0.266674 0.0129541 0.0272326 0.000576065 0.0 0.0 0.0 0.0 0.0
NONHSAT000204.2 0.0 0.11572 0.0 0.0 0.0550411 0.0 0.0 0.0 0.0 0.00441581 0.0 0.49859 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0438745 0.0
NONHSAT000228.2 4.30498 4.83187 3.72578 10.7169 5.50041 1.41513 8.73013 1.36684 16.1265 28.4991 29.5874 16.6363 1.46166 0.0 2.80714 1.76209 4.35231 10.5557 2.27787 0.0 4.14088 8.22982 10.3553 0.191543
NONHSAT000284.2 2.9413 4.31643 4.03962 5.00924 2.54846 4.82057 1.58871 1.46411 1.56947 8.75829 8.99378 5.87202 1.04909 0.0 2.54757 9.11775 13.6509 5.49982 9.40823 0.615319 2.74765 3.23489 4.24945 1.44404
NONHSAT000834.2 2.29469 2.94342 3.02934 5.2329 4.28804 3.02803 1.54258 6.31278 1.60745 3.31789 3.83304 10.1669 2.15638 0.740634 1.22015 3.76696 2.50732 2.43941 2.90896 2.42519 3.17261 1.17958 2.70758 3.58399
NONHSAT001116.2 0.0287626 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0428606 0.0 0.236437 0.0 0.0 0.0 0.0 0.00576946 0.0 0.0 0.0
NONHSAT001136.2 0.0 0.0 0.078504 0.0533411 0.0173483 0.0801804 0.370104 0.0 0.0 0.0 0.0245387 0.0 0.0 0.000656792 0.0624293 0.0 0.292972 0.0 0.125302 0.0 0.910581 1.57854 0.0189178 0.0
NONHSAT001209.2 0.0 0.194827 0.232293 0.114233 0.0280792 0.168726 0.0 0.0347713 0.0274536 0.0 0.0 0.10901 0.0461256 0.062662 0.0582539 0.0 1.16917 0.0617614 0.224124 0.0 0.420865 0.436781 0.0144367 0.0
NONHSAT001210.2 0.0 0.0 0.0 0.0 0.0794417 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.271193 0.125171 0.0 0.0
NONHSAT001212.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.000192511 0.0 1.30172 0.104936 0.0626244 0.0
NONHSAT001258.2 0.0 0.0 0.0 0.0190354 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0610458 0.0 0.0 0.0 0.0 0.0 0.212826 0.0 0.0
NONHSAT001380.2 18.8134 11.6167 27.0134 33.903 15.7807 17.8824 11.2073 29.4348 2.84416 18.054 18.1747 22.8553 15.8196 3.6666 8.22315 13.4152 12.6744 10.6866 13.8338 34.2281 25.458 19.5908 19.6355 9.19534
NONHSAT001464.2 0.622967 0.0 0.0 0.0571153 0.000176964 0.0 0.0 0.0 0.00484874 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.276966 0.0 0.0 0.0 0.0186052 0.0
NONHSAT001498.2 0.0 0.0927283 0.0 0.0984736 0.301364 0.0 0.373959 0.0 0.266148 0.260315 0.0 0.0 0.0 0.241625 0.0 0.0 0.157528 0.0 0.0 0.0 0.0 0.838936 0.0 0.0
