miRNA名称,Adrenocortical carcinoma,Bladder urothelial carcinoma,Breast invasive carcinoma,Cervical and endocervical cancers,Cholangiocarcinoma,Colon adenocarcinoma,Colorectal adenocarcinom,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,Esophageal carcinoma,FFPE Pilot Phase Ⅱ,Glioblastoma multiforme,Glioma,Head  and Neck squamous cell carcinoma,Kidney Chromophobe,Kidney renal clear cell carcinoma,Kidney renal papillary cell carcinoma,Brain Lower Grade Glioma,Liver hepatocellular carcinoma,Lung adenocarcinoma,Lung squamous cell carcinoma,Mesothelioma,Ovarian serous cystadenocarcinoma,Pancreatic adenocarcinoma,Pheochromocytoma and Paraganglioma,Prostate adenocarcinoma,Rectum adenocarcinoma,Sarcoma,Skin Cutaneous Melanoma,Stomach adenocarcinoma,Stomach and Esophageal carcinoma,Testicular Germ Cell Tumors,Thyroid carcinoma,Thymoma,Uterine Corpus Endometrial Carcinoma,Uterine Carcinosarcoma
hsa-miR-520c-3p,0.01,7.53,0.09,0.09,0.01,0.02,0.02,0.31,1.91,17.39,0.0,0.03,0.42,0.04,0.01,0.16,0.03,5.24,0.38,0.36,0.01,0.03,0.01,0.01,0.02,0.01,0.69,6.56,1.99,1.97,290.32,0.26,53.5,0.03,0.42
hsa-miR-139-5p,1596.94,48.69,76.6,24.11,139.62,18.32,19.65,40.2,48.17,99.14,3322.58,362.19,49.41,157.04,134.31,44.95,334.05,150.26,55.94,45.26,94.74,69.37,73.33,439.9,53.15,23.52,61.05,67.98,46.99,47.36,138.22,147.5,170.3,17.94,28.43
hsa-let-7f-5p,19219.56,9509.93,8712.01,9555.41,5410.18,11352.14,13372.63,16287.76,13177.89,5487.0,15473.16,7097.97,10774.08,7764.39,13923.43,8063.33,7018.36,13309.4,12993.46,7965.18,14563.21,1938.5,8438.96,14973.61,8240.01,19247.99,14816.27,13699.65,10459.88,11316.83,6137.41,25201.82,21472.52,7604.7,2103.54
hsa-miR-15b-5p,221.57,283.73,203.98,419.0,317.13,174.2,177.25,1037.51,310.03,303.71,109.5,87.72,310.65,219.07,129.19,113.71,87.51,247.61,221.69,272.22,264.42,1778.24,122.34,162.81,97.98,186.11,271.71,699.09,220.52,248.74,443.45,224.15,1201.49,315.57,397.76
hsa-miR-202-3p,322.17,0.02,0.25,0.09,0.01,0.03,0.03,0.04,0.05,0.02,0.0,0.01,0.03,0.02,0.02,0.01,0.01,0.05,0.33,0.02,0.04,119.27,0.24,17.09,0.04,0.03,2.84,0.8,0.05,0.05,29.54,0.03,0.1,0.42,0.26
hsa-miR-122-5p,0.96,0.41,21.1,2.12,9814.52,1.73,66.34,0.22,11.31,6.09,0.38,0.2,0.06,0.45,19.53,1.61,0.2,25408.62,3.64,0.78,0.15,0.05,0.42,3.61,0.48,254.22,0.05,3.68,14.93,13.79,117.76,0.14,0.19,19.71,6.17
hsa-miR-497-5p,15.9,14.21,32.39,16.27,25.29,15.44,15.82,17.72,13.48,22.93,15.35,33.86,11.32,12.81,27.43,11.12,34.03,19.49,20.79,24.11,37.32,18.7,27.39,12.73,30.7,16.9,29.21,10.96,23.35,20.24,17.04,22.24,54.91,39.04,8.69
hsa-miR-449a,0.1,1.17,10.26,3.34,0.29,0.11,0.11,1.35,0.18,34.24,0.31,0.28,1.47,0.14,0.11,0.16,0.28,0.18,8.08,6.47,0.13,5.93,0.11,0.21,1.54,0.11,1.0,0.2,0.91,0.68,3.07,0.37,1.06,127.17,11.33
hsa-miR-421,3.61,4.28,1.94,2.62,1.35,5.26,5.77,4.22,4.49,2.45,13.18,5.29,3.35,0.88,1.53,2.21,5.21,3.44,2.95,3.51,2.93,2.58,1.44,4.03,1.57,7.26,2.16,8.6,3.04,3.5,7.44,2.26,2.55,3.31,4.82
hsa-miR-145-5p,1227.68,2797.09,2027.57,1522.42,1826.19,2095.83,2290.99,830.2,3236.65,3242.09,565.9,263.4,842.84,961.09,2501.29,735.62,260.52,1218.67,1468.38,1729.1,769.25,1490.05,2345.07,1442.84,5171.01,2858.48,3147.61,1267.05,4935.54,4399.9,2031.93,1790.78,851.56,2207.74,1157.31
hsa-miR-449b-5p,0.02,0.11,0.98,0.41,0.0,0.01,0.01,0.07,0.01,1.73,0.0,0.04,0.15,0.0,0.02,0.01,0.04,0.02,1.27,0.86,0.02,0.84,0.01,0.01,0.07,0.01,0.11,0.02,0.14,0.1,0.2,0.02,0.07,16.22,1.92
hsa-miR-19b-3p,65.04,208.54,138.44,214.08,123.37,145.94,147.9,420.42,227.59,145.93,92.87,97.75,166.64,36.22,79.06,87.55,97.79,249.12,105.88,181.83,135.28,0.97,94.95,46.0,164.17,153.59,110.3,123.57,176.4,192.54,292.73,141.68,513.05,207.3,893.52
hsa-miR-20b-5p,15.88,41.42,40.58,115.24,27.13,3.65,4.0,106.39,24.78,56.14,71.54,59.02,31.1,43.05,31.37,37.45,58.9,20.78,21.6,44.75,14.71,5.61,7.87,13.64,212.6,5.03,39.15,361.8,15.41,18.37,281.34,13.19,937.83,135.18,212.3
hsa-miR-29a-3p,5947.53,6665.5,5475.33,6759.79,7572.03,8850.26,8578.2,10740.66,6196.13,4314.55,17844.4,8162.98,7780.88,12505.37,5143.69,6314.53,8070.95,8038.78,12976.77,7508.19,7106.6,8121.71,6303.06,6577.41,6023.35,7787.09,3474.82,15997.78,8502.66,7775.45,3948.59,21730.55,8871.16,5389.94,1792.44
hsa-miR-195-5p,22.86,25.28,51.11,31.26,42.79,28.98,30.76,22.89,26.38,17.64,38.95,63.66,27.15,21.26,52.54,19.24,63.89,36.48,44.49,33.54,52.79,2.9,38.65,27.85,68.33,35.92,42.83,19.24,39.19,35.15,34.05,36.02,101.83,59.38,11.16
hsa-miR-185-5p,82.94,97.47,54.36,100.4,75.06,52.1,52.04,185.68,91.9,77.93,278.54,67.69,92.16,98.16,49.47,72.95,65.69,118.34,85.08,106.06,97.07,13.39,68.43,116.27,28.37,51.84,80.1,355.31,66.31,74.38,107.46,102.02,158.56,56.83,61.29
hsa-miR-503-5p,770.96,11.81,12.92,12.99,5.08,7.07,8.5,14.3,9.64,12.6,6.82,6.75,9.87,13.14,53.86,7.92,6.75,11.34,7.75,7.11,21.98,8.1,5.87,12.08,2.02,12.66,47.09,13.33,8.05,8.55,27.78,26.78,13.08,12.43,75.79
hsa-miR-17-5p,171.04,757.38,455.02,659.56,392.19,745.92,870.54,1753.13,851.88,1116.65,242.36,267.0,645.03,173.26,263.233,293.78,267.24,873.31,363.17,777.03,362.38,138.91,231.87,120.44,291.63,1232.95,316.01,1011.25,700.85,748.47,1154.45,304.06,1942.35,770.0,2545.21
hsa-miR-204-5p,144.61,11.0,7.01,9.34,37.39,7.23,7.03,6.95,6.78,59.94,182.53,215.32,8.23,269.7,516.37,598.89,215.63,49.96,6.08,29.7,47.9,20.79,35.78,59.43,23.74,6.45,66.46,159.38,8.41,7.9,205.94,65.06,337.35,33.41,67.75
hsa-miR-4306,0.05,0.03,0.05,0.07,0.09,0.0,0.0,0.05,0.03,0.06,0.0,0.02,0.06,0.06,0.03,0.03,0.02,0.04,0.16,0.04,0.05,0.0,0.04,0.02,0.01,0.0,0.03,0.5,0.05,0.04,0.04,0.07,0.04,0.04,0.0
hsa-miR-367-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,65.59,0.0,0.0,0.03,0.0
hsa-miR-370-3p,164.77,7.48,7.21,4.18,9.69,5.86,5.79,3.75,4.17,9.93,169.03,25.47,5.45,2.79,1.93,1.05,24.11,13.38,7.21,9.46,14.57,34.19,17.96,319.09,2.24,5.58,54.49,12.94,5.25,4.91,275.09,1.33,20.75,5.4,59.44
hsa-miR-93-5p,3965.56,10131.26,5486.83,7568.57,3783.11,4714.62,5006.09,10423.69,10297.18,13123.79,2646.25,4189.58,7086.07,1994.17,2762.56,3760.23,4204.25,62217.9,4083.06,9832.76,4651.75,6063.0,2759.94,1650.4,3474.05,5853.64,4479.3,17565.17,6268.85,7538.93,13620.21,3269.1,13784.53,7148.14,24484.41
hsa-miR-15a-5p,184.61,223.92,150.49,225.51,179.78,108.06,113.36,600.67,239.16,214.9,190.9,145.5,198.06,100.97,145.18,121.34,145.07,230.69,140.94,181.26,253.37,14.18,120.05,202.71,109.57,128.77,223.74,206.16,170.88,192.41,286.96,220.41,987.96,147.04,253.9
hsa-miR-130b-3p,6.68,40.09,11.98,29.9,11.26,22.24,23.24,42.22,25.63,18.34,12.65,14.28,23.3,3.07,5.02,4.92,14.29,30.18,20.55,29.7,10.41,15.83,13.77,12.29,6.01,26.16,39.99,48.71,22.04,23.17,74.84,10.33,54.87,38.59,83.51
hsa-miR-33a-5p,43.49,31.71,16.76,41.24,26.87,37.85,36.91,53.99,20.07,23.39,73.82,23.51,30.96,30.25,9.0,10.96,23.04,39.05,18.82,48.49,9.84,0.11,14.51,31.63,11.83,34.15,15.28,10.34,27.45,25.12,26.24,16.15,50.27,38.95,19.42
hsa-miR-19a-3p,18.01,45.14,26.84,53.14,24.1,27.08,27.99,109.88,63.18,33.98,22.43,17.44,37.98,6.49,16.0,16.77,17.39,63.65,22.15,45.78,34.62,0.06,20.67,9.88,20.13,30.65,32.83,18.13,45.4,51.0,88.96,22.6,170.85,45.35,333.49
hsa-miR-653-5p,16.71,7.86,17.48,4.04,8.57,4.1,4.01,4.99,6.01,65.96,7.57,3.26,5.55,114.36,110.42,26.42,3.22,16.07,29.42,25.44,12.77,0.21,8.5,31.88,2.11,3.75,19.87,21.31,6.13,6.09,27.43,9.99,52.73,16.18,16.98
